# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = NGP5_initial_clean.image.tt0.fits
# RMS (constant) = 2.568e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.113e-01 , 2.238e-01) arcsec, PA = -7.730e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
      11         21       4408       2110   205.165527850    32.563360359   5.99e-06   4.83e-06        4407.71        2110.24   205.165537266    32.563366973          1        4407.71        2110.09   205.165537475    32.563362990          1       4406       4410       2108       2113   2.57e-06   1.00e+00     0.57   1.139e+01   1.139e+01   1.139e+01   2.925388e-05   2.925388e-05   2.925388e-05   2.925388e-05   2.925388e-05   3.012478e-06   3.551601e-05   3.551601e-05   4.037715e-05   4.037715e-05   3.266347e-06     1.53  -1.000e+00
      12         15       5362       3065   205.134073587    32.589882514   5.97e-06   4.81e-06        5361.60        3065.40   205.134086770    32.589893629          1        5361.59        3065.31   205.134087173    32.589891090          1       5360       5363       3064       3067   2.57e-06   1.00e+00     0.46   1.123e+01   1.145e+01   1.145e+01   2.882489e-05   2.939609e-05   2.939609e-05   2.939609e-05   2.939609e-05   3.016490e-06   2.910391e-05   2.910391e-05   3.306182e-05   3.306182e-05   3.053841e-06     1.09  -1.000e+00
      13         16       5621       6001   205.125491951    32.671435188   6.44e-06   5.14e-06        5621.31        6000.81   205.125481642    32.671429976          1        5621.29        6000.86   205.125482291    32.671431227          1       5619       5624       5999       6002   2.57e-06   1.00e+00     0.80   1.030e+01   1.040e+01   1.040e+01   2.644246e-05   2.670856e-05   2.670856e-05   2.670856e-05   2.670856e-05   2.943118e-06   3.197277e-05   3.197277e-05   3.691777e-05   3.691777e-05   3.162363e-06     1.23  -1.000e+00
      14         15       4143       4151   205.174263186    32.620054986   6.83e-06   5.41e-06        4143.07        4151.27   205.174260988    32.620062393          1        4143.04        4151.26   205.174261972    32.620062299          1       4141       4145       4150       4153   2.57e-06   1.00e+00     0.57   9.680e+00   9.680e+00   9.680e+00   2.485671e-05   2.485671e-05   2.485671e-05   2.485671e-05   2.485671e-05   2.895690e-06   2.289660e-05   2.289660e-05   2.680324e-05   2.680324e-05   2.896424e-06     1.21  -1.000e+00
      15         15       2849       4359   205.216942058    32.625824911   7.25e-06   5.70e-06        2848.53        4358.80   205.216957447    32.625819350          1        2848.76        4358.95   205.216950109    32.625823604          1       2846       2851       4357       4361   2.57e-06   1.00e+00     0.46   9.028e+00   9.028e+00   9.028e+00   2.318227e-05   2.318227e-05   2.318227e-05   2.318227e-05   2.318227e-05   2.855127e-06   2.168894e-05   2.168894e-05   2.576624e-05   2.576624e-05   2.872801e-06     1.26  -1.000e+00
      16         15       5439       1947   205.131549133    32.558826154   7.55e-06   5.91e-06        5439.13        1947.60   205.131544731    32.558842819          1        5439.20        1947.58   205.131542597    32.558842150          1       5437       5441       1946       1949   2.57e-06   1.00e+00     0.69   8.314e+00   8.614e+00   8.614e+00   2.134773e-05   2.211767e-05   2.211767e-05   2.211767e-05   2.211767e-05   2.830529e-06   2.294368e-05   2.294368e-05   2.755271e-05   2.755271e-05   2.913952e-06     1.30  -1.000e+00
      17         21       4815       1262   205.152118837    32.539803344   7.87e-06   6.14e-06        4815.00        1261.86   205.152118837    32.539799375          1        4815.00        1261.87   205.152118793    32.539799685          1       4813       4817       1260       1264   2.57e-06   1.00e+00     0.92   8.203e+00   8.203e+00   8.203e+00   2.106326e-05   2.106326e-05   2.106326e-05   2.106326e-05   2.106326e-05   2.807108e-06   2.994942e-05   2.994942e-05   3.640116e-05   3.640116e-05   3.147356e-06     1.89  -1.000e+00
      18         15       1807       5133   205.251328308    32.647308091   8.69e-06   6.72e-06        1807.20        5133.27   205.251321717    32.647315503          1        1807.26        5133.23   205.251319618    32.647314385          1       1805       1809       5132       5135   2.57e-06   1.00e+00     0.92   7.330e+00   7.338e+00   7.338e+00   1.882126e-05   1.884177e-05   1.884177e-05   1.884177e-05   1.884177e-05   2.760937e-06   2.065362e-05   2.065362e-05   2.589244e-05   2.589244e-05   2.875636e-06     1.46  -1.000e+00
      19         13       4412       4384   205.165391086    32.626527028   9.25e-06   7.13e-06        4412.08        4383.15   205.165388551    32.626503524          1        4412.03        4383.38   205.165390186    32.626509809          1       4410       4414       4381       4385   2.57e-06   1.00e+00     0.46   6.845e+00   6.845e+00   6.845e+00   1.757525e-05   1.757525e-05   1.757525e-05   1.757525e-05   1.757525e-05   2.736607e-06   1.403925e-05   1.403925e-05   1.799525e-05   1.799525e-05   2.720811e-06     1.34  -1.000e+00
      20         25       1512       6000   205.261084243    32.671384960   1.10e-05   8.36e-06        1510.88        5998.88   205.261121171    32.671353823          1        1511.01        5999.22   205.261117030    32.671363189          1       1509       1513       5995       6001   2.57e-06   1.00e+00     2.41   6.400e+00   6.400e+00   5.700e+00   1.643406e-05   1.643406e-05   1.463665e-05   1.463665e-05   1.463665e-05   2.685984e-06   3.204408e-05   3.204408e-05   4.412390e-05   4.412390e-05   3.385341e-06     3.02  -1.000e+00
