# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = H12-00_initial_clean.image.tt0_170223.fits
# RMS (constant) = 2.878e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.338e-01 , 2.473e-01) arcsec, PA = -4.115e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
      11         28       3540       4047   176.658333435    -0.191749988   5.14e-06   5.29e-06        3539.64        4047.18   176.658343356    -0.191745027          1        3539.82        4047.18   176.658338491    -0.191745052          1       3536       3542       4045       4051   2.88e-06   1.00e+00     0.39   1.264e+01   1.264e+01   1.264e+01   3.637881e-05   3.637881e-05   3.637881e-05   3.637881e-05   3.637881e-05   3.481411e-06   4.425829e-05   4.425829e-05   4.954108e-05   4.954108e-05   3.797118e-06     1.62  -1.000e+00
      12       1404       3236       6445   176.666777841    -0.125138853   6.08e-06   6.28e-06        3218.68        6446.18   176.667258948    -0.125106089          1        3222.02        6445.63   176.667166083    -0.125121281          1       3180       3250       6429       6465   2.88e-06   1.00e+00     7.56   1.151e+01   1.151e+01   1.011e+01   3.312136e-05   3.312136e-05   2.909230e-05   2.909230e-05   2.909230e-05   3.276699e-06   1.858138e-03   1.858138e-03   2.156899e-03   2.156899e-03   1.078833e-04    92.66  -1.000e+00
      13         20       3532       4014   176.658555659    -0.192666654   5.74e-06   5.91e-06        3532.15        4013.95   176.658551493    -0.192668043          1        3532.02        4013.92   176.658554984    -0.192669001          1       3530       3535       4012       4016   2.88e-06   1.00e+00     0.39   1.090e+01   1.090e+01   1.090e+01   3.136861e-05   3.136861e-05   3.136861e-05   3.136861e-05   3.136861e-05   3.337046e-06   2.933695e-05   2.933695e-05   3.359684e-05   3.359684e-05   3.332293e-06     1.26  -1.000e+00
      14         19       2643       2838   176.683250337    -0.225333280   5.75e-06   5.92e-06        2642.84        2838.16   176.683254723    -0.225328894          1        2642.91        2838.27   176.683252968    -0.225325646          1       2641       2645       2836       2840   2.88e-06   1.00e+00     0.58   1.082e+01   1.088e+01   1.088e+01   3.115039e-05   3.131039e-05   3.131039e-05   3.131039e-05   3.131039e-05   3.335460e-06   3.139232e-05   3.139232e-05   3.596204e-05   3.596204e-05   3.393447e-06     1.20  -1.000e+00
      15         31       4347       3920   176.635916642    -0.195277775   6.25e-06   6.45e-06        4347.74        3919.65   176.635896032    -0.195287631          1        4347.52        3919.72   176.635902069    -0.195285644          1       4345       4350       3916       3923   2.88e-06   1.00e+00     0.68   9.768e+00   9.768e+00   9.768e+00   2.811257e-05   2.811257e-05   2.811257e-05   2.811257e-05   2.811257e-05   3.251804e-06   4.031254e-05   4.031254e-05   4.710555e-05   4.710555e-05   3.718822e-06     2.09  -1.000e+00
      16         24       3486       3965   176.659833446    -0.194027764   6.26e-06   6.46e-06        3484.83        3964.42   176.659865854    -0.194043968          1        3485.16        3964.59   176.659856651    -0.194039102          1       3482       3487       3962       3967   2.88e-06   1.00e+00     0.48   9.746e+00   9.746e+00   9.746e+00   2.804712e-05   2.804712e-05   2.804712e-05   2.804712e-05   2.804712e-05   3.250164e-06   3.339127e-05   3.339127e-05   3.903605e-05   3.903605e-05   3.477333e-06     1.62  -1.000e+00
      17         17       4594       4651   176.629055503    -0.174972216   6.29e-06   6.49e-06        4594.18        4650.82   176.629050601    -0.174977118          1        4594.06        4650.84   176.629053957    -0.174976607          1       4593       4596       4648       4653   2.88e-06   1.00e+00     0.58   9.697e+00   9.697e+00   9.697e+00   2.790608e-05   2.790608e-05   2.790608e-05   2.790608e-05   2.790608e-05   3.246642e-06   2.459230e-05   2.459230e-05   2.877857e-05   2.877857e-05   3.217580e-06     1.15  -1.000e+00
      18         27       5331       6225   176.608583248    -0.131249960   6.66e-06   6.88e-06        5331.33        6224.44   176.608573989    -0.131265392          1        5331.21        6224.51   176.608577423    -0.131263447          1       5329       5335       6222       6227   2.88e-06   1.00e+00     0.68   9.043e+00   9.043e+00   9.043e+00   2.602449e-05   2.602449e-05   2.602449e-05   2.602449e-05   2.602449e-05   3.201000e-06   3.600158e-05   3.600158e-05   4.275422e-05   4.275422e-05   3.584985e-06     1.91  -1.000e+00
      19         21       3595       1150   176.656805744    -0.272222242   6.62e-06   6.84e-06        3595.24        1150.24   176.656799130    -0.272215629          1        3595.26        1150.19   176.656798610    -0.272216945          1       3593       3597       1148       1153   2.88e-06   1.00e+00     0.78   9.034e+00   9.106e+00   9.106e+00   2.599800e-05   2.620503e-05   2.620503e-05   2.620503e-05   2.620503e-05   3.205269e-06   3.241189e-05   3.241189e-05   3.843265e-05   3.843265e-05   3.460488e-06     1.48  -1.000e+00
      20         19       3553       4052   176.657972322    -0.191611099   6.65e-06   6.87e-06        3553.11        4052.42   176.657969398    -0.191599403          1        3553.24        4052.36   176.657965631    -0.191601208          1       3551       3555       4051       4054   2.88e-06   1.00e+00     0.68   8.932e+00   9.048e+00   9.048e+00   2.570409e-05   2.603892e-05   2.603892e-05   2.603892e-05   2.603892e-05   3.201341e-06   2.838836e-05   2.838836e-05   3.370889e-05   3.370889e-05   3.335121e-06     1.35  -1.000e+00
