# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = NGP3_initial_clean.image.tt0.fits
# RMS (constant) = 2.705e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (2.560e-01 , 2.409e-01) arcsec, PA = -5.810e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         28       2539       6015   202.979194028    23.821757098   2.83e-06   2.83e-06        2539.21        6014.29   202.979187514    23.821737259          1        2539.18        6015.26   202.979188523    23.821764458          1       2537       2541       6009       6018   2.71e-06   1.00e+00     0.13   9.592e+01   9.637e+01   9.637e+01   2.594991e-04   2.607363e-04   2.607363e-04   2.607363e-04   2.607363e-04   1.429935e-05   3.012647e-04   3.012647e-04   3.045270e-04   3.045270e-04   1.546483e-05     1.03  -1.000e+00
       2         28       2847       2637   202.969812084    23.727926513   2.85e-06   2.85e-06        2847.39        2637.14   202.969800165    23.727930484          1        2847.42        2637.06   202.969799305    23.727928299          1       2845       2850       2635       2640   2.71e-06   1.00e+00     0.13   8.032e+01   8.032e+01   8.032e+01   2.172957e-04   2.172957e-04   2.172957e-04   2.172957e-04   2.172957e-04   1.201041e-05   2.451378e-04   2.451378e-04   2.483932e-04   2.483932e-04   1.271092e-05     1.08  -1.000e+00
       3         25       2546       6972   202.978991771    23.848340516   3.00e-06   2.99e-06        2545.96        6971.84   202.978992984    23.848336071          1        2546.26        6971.60   202.978983925    23.848329380          1       2543       2548       6969       6974   2.71e-06   1.00e+00     0.13   4.480e+01   4.480e+01   4.480e+01   1.211968e-04   1.211968e-04   1.211968e-04   1.211968e-04   1.211968e-04   7.065164e-06   1.447313e-04   1.447313e-04   1.484624e-04   1.484624e-04   7.900768e-06     1.15  -1.000e+00
       4         29       5224       4556   202.897674625    23.781234390   3.08e-06   3.07e-06        5223.93        4556.07   202.897676718    23.781236306          1        5224.23        4556.16   202.897667712    23.781238739          1       5219       5228       4554       4558   2.71e-06   1.00e+00     0.13   3.744e+01   3.744e+01   3.744e+01   1.012811e-04   1.012811e-04   1.012811e-04   1.012811e-04   1.012811e-04   6.088284e-06   1.163740e-04   1.163740e-04   1.200667e-04   1.200667e-04   6.584786e-06     1.42  -1.000e+00
       5         21       5848       5659   202.878721191    23.811868335   3.69e-06   3.65e-06        5848.00        5659.00   202.878721191    23.811868335          1        5848.01        5659.04   202.878720823    23.811869469          1       5846       5850       5657       5661   2.71e-06   1.00e+00     0.13   2.053e+01   2.053e+01   2.053e+01   5.553541e-05   5.553541e-05   5.553541e-05   5.553541e-05   5.553541e-05   4.032807e-06   6.192487e-05   6.192487e-05   6.593998e-05   6.593998e-05   4.264928e-06     1.29  -1.000e+00
       6         16       3007       3071   202.964960592    23.739983278   3.76e-06   3.72e-06        3006.81        3070.62   202.964966279    23.739972860          1        3006.87        3070.62   202.964964626    23.739972679          1       3005       3009       3069       3072   2.71e-06   1.00e+00     0.26   1.968e+01   1.968e+01   1.968e+01   5.323358e-05   5.323358e-05   5.323358e-05   5.323358e-05   5.323358e-05   3.941759e-06   5.267964e-05   5.267964e-05   5.627690e-05   5.627690e-05   3.903476e-06     1.00  -1.000e+00
       7         24       4368       5682   202.923657435    23.812515197   4.07e-06   4.02e-06        4368.08        5682.17   202.923654904    23.812519827          1        4368.12        5681.90   202.923653715    23.812512408          1       4366       4370       5679       5686   2.71e-06   1.00e+00     0.26   1.677e+01   1.677e+01   1.677e+01   4.537032e-05   4.537032e-05   4.537032e-05   4.537032e-05   4.537032e-05   3.645402e-06   5.488948e-05   5.488948e-05   5.945772e-05   5.945772e-05   4.019634e-06     1.61  -1.000e+00
       8         21       8381       6942   202.801778449    23.847463425   4.46e-06   4.39e-06        8381.48        6942.48   202.801763974    23.847476640          1        8381.47        6942.42   202.801764162    23.847475162          1       8379       8385       6940       6945   2.71e-06   1.00e+00     0.39   1.432e+01   1.432e+01   1.432e+01   3.874918e-05   3.874918e-05   3.874918e-05   3.874918e-05   3.874918e-05   3.416687e-06   5.154763e-05   5.154763e-05   5.678412e-05   5.678412e-05   3.921798e-06     1.53  -1.000e+00
       9         15       2532       3275   202.979376938    23.745645916   4.60e-06   4.52e-06        2532.13        3274.80   202.979372890    23.745640361          1        2532.14        3274.81   202.979372542    23.745640502          1       2530       2534       3273       3276   2.71e-06   1.00e+00     0.39   1.364e+01   1.364e+01   1.364e+01   3.691462e-05   3.691462e-05   3.691462e-05   3.691462e-05   3.691462e-05   3.357261e-06   3.530256e-05   3.530256e-05   3.911903e-05   3.911903e-05   3.338435e-06     1.12  -1.000e+00
      10         17       4899       3671   202.907544069    23.756652717   4.61e-06   4.53e-06        4898.59        3671.12   202.907556566    23.756655987          1        4898.66        3671.00   202.907554381    23.756652594          1       4897       4900       3669       3673   2.71e-06   1.00e+00     0.39   1.356e+01   1.356e+01   1.356e+01   3.669895e-05   3.669895e-05   3.669895e-05   3.669895e-05   3.669895e-05   3.350398e-06   3.806886e-05   3.806886e-05   4.221558e-05   4.221558e-05   3.431442e-06     1.27  -1.000e+00
