# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = ./output/mock_0.206mJy_NGP3_flux_170919.fits
# RMS image = ../NGP3/NGP3_crop_rms_sqaure_small.fits
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (200 , 200) pixels
# Image projection = SIN
# Total non-blank pixels = 40000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (2.560e-01 , 2.409e-01) arcsec, PA = -5.810e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.600e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         45        136        161   203.052006402    23.659105153   2.85e-06   2.85e-06         136.00         161.00   203.052006402    23.659105153          1         136.00         161.00   203.052006401    23.659105154          1        133        139        158        164   2.57e-06   1.00e+00     0.13   8.004e+01   8.004e+01   8.004e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138807e-05   3.700061e-04   3.700061e-04   3.766386e-04   3.766386e-04   1.900698e-05     1.88  -1.000e+00
       2         45        135        137   203.052036100    23.658438461   2.85e-06   2.85e-06         135.00         137.00   203.052036100    23.658438461          1         135.00         137.00   203.052036099    23.658438462          1        132        138        134        140   2.57e-06   1.00e+00     0.13   8.000e+01   8.000e+01   8.000e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138835e-05   3.700061e-04   3.700061e-04   3.766422e-04   3.766422e-04   1.900733e-05     1.88  -1.000e+00
       3         45        124        106   203.052368880    23.657577083   2.85e-06   2.85e-06         124.00         106.00   203.052368880    23.657577083          1         124.00         106.00   203.052368879    23.657577084          1        121        127        103        109   2.58e-06   1.00e+00     0.13   7.994e+01   7.994e+01   7.994e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138881e-05   3.700061e-04   3.700061e-04   3.766482e-04   3.766482e-04   1.900790e-05     1.88  -1.000e+00
       4         45         72        151   203.053947052    23.658825821   2.85e-06   2.85e-06          72.00         151.00   203.053947052    23.658825821          1          72.00         151.00   203.053947051    23.658825822          1         69         75        148        154   2.58e-06   1.00e+00     0.13   7.993e+01   7.993e+01   7.993e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138887e-05   3.700061e-04   3.700061e-04   3.766489e-04   3.766489e-04   1.900797e-05     1.88  -1.000e+00
       5         45        129         44   203.052215622    23.655854979   2.85e-06   2.85e-06         129.00          44.00   203.052215622    23.655854979          1         129.00          44.00   203.052215621    23.655854980          1        126        132         41         47   2.58e-06   1.00e+00     0.13   7.985e+01   7.985e+01   7.985e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138945e-05   3.700061e-04   3.700061e-04   3.766564e-04   3.766564e-04   1.900869e-05     1.88  -1.000e+00
       6         45         81         71   203.053671989    23.656603815   2.85e-06   2.85e-06          81.00          71.00   203.053671989    23.656603815          1          81.00          71.00   203.053671988    23.656603816          1         78         84         68         74   2.58e-06   1.00e+00     0.13   7.983e+01   7.983e+01   7.983e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138965e-05   3.700061e-04   3.700061e-04   3.766590e-04   3.766590e-04   1.900893e-05     1.88  -1.000e+00
       7         33        122         32   203.052427589    23.655521476   2.85e-06   2.85e-06         122.00          32.88   203.052427612    23.655545887          1         122.00          32.35   203.052427597    23.655531239          1        119        125         31         35   2.58e-06   1.00e+00     0.13   7.982e+01   7.982e+01   7.982e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138965e-05   3.193891e-04   3.193891e-04   3.251319e-04   3.251319e-04   1.646016e-05     1.38  -1.000e+00
       8         45        123         26   203.052397105    23.655354833   2.85e-06   2.85e-06         123.00          26.00   203.052397105    23.655354833          1         123.00          26.00   203.052397104    23.655354834          1        120        126         23         29   2.58e-06   1.00e+00     0.13   7.982e+01   7.982e+01   7.982e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138971e-05   3.700061e-04   3.700061e-04   3.766598e-04   3.766598e-04   1.900901e-05     1.88  -1.000e+00
       9         45         46         82   203.054733701    23.656908513   2.85e-06   2.85e-06          46.00          82.00   203.054733701    23.656908513          1          46.00          82.00   203.054733700    23.656908514          1         43         49         79         85   2.58e-06   1.00e+00     0.13   7.979e+01   7.979e+01   7.979e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.138989e-05   3.700061e-04   3.700061e-04   3.766621e-04   3.766621e-04   1.900923e-05     1.88  -1.000e+00
